,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
516,1584002160000,2020-03-12 08:36:00,ETHUSD,171.29,171.29,170.74,170.74,35.0
517,1584002220000,2020-03-12 08:37:00,ETHUSD,170.74,171.77,170.74,171.77,87.7487
518,1584002280000,2020-03-12 08:38:00,ETHUSD,171.77,171.77,171.77,171.77,0.0
519,1584002340000,2020-03-12 08:39:00,ETHUSD,171.77,171.77,170.81,170.9,17.979
520,1584002400000,2020-03-12 08:40:00,ETHUSD,170.9,170.9,170.9,170.9,0.0
521,1584002460000,2020-03-12 08:41:00,ETHUSD,170.9,170.9,170.9,170.9,0.0
522,1584002520000,2020-03-12 08:42:00,ETHUSD,170.9,170.9,170.51,170.81,8.0565
523,1584002580000,2020-03-12 08:43:00,ETHUSD,170.81,170.81,170.44,170.44,0.4894
524,1584002640000,2020-03-12 08:44:00,ETHUSD,170.44,170.44,169.86,169.86,5.0
525,1584002700000,2020-03-12 08:45:00,ETHUSD,169.86,170.05,169.73,169.73,16.1067
526,1584002760000,2020-03-12 08:46:00,ETHUSD,169.73,169.73,169.54,169.54,0.023358
527,1584002820000,2020-03-12 08:47:00,ETHUSD,169.54,169.54,168.37,168.83,52.020697
528,1584002880000,2020-03-12 08:48:00,ETHUSD,168.83,169.08,168.61,169.08,110.3604
529,1584002940000,2020-03-12 08:49:00,ETHUSD,169.08,169.08,169.08,169.08,0.0
530,1584003000000,2020-03-12 08:50:00,ETHUSD,169.08,169.48,168.84,169.46,34.693938
531,1584003060000,2020-03-12 08:51:00,ETHUSD,169.46,169.46,169.45,169.46,64.554227
532,1584003120000,2020-03-12 08:52:00,ETHUSD,169.46,169.46,169.46,169.46,0.0
533,1584003180000,2020-03-12 08:53:00,ETHUSD,169.46,169.46,169.46,169.46,0.0
534,1584003240000,2020-03-12 08:54:00,ETHUSD,169.46,169.46,169.46,169.46,0.0
535,1584003300000,2020-03-12 08:55:00,ETHUSD,169.46,170.0,169.46,170.0,0.803805
536,1584003360000,2020-03-12 08:56:00,ETHUSD,170.0,170.0,170.0,170.0,0.0
537,1584003420000,2020-03-12 08:57:00,ETHUSD,170.0,170.24,170.0,170.24,0.137405
538,1584003480000,2020-03-12 08:58:00,ETHUSD,170.24,170.24,169.46,169.46,2.232602
539,1584003540000,2020-03-12 08:59:00,ETHUSD,169.46,169.46,169.01,169.18,35.7535
540,1584003600000,2020-03-12 09:00:00,ETHUSD,169.18,169.18,167.57,168.73,333.956183
541,1584003660000,2020-03-12 09:01:00,ETHUSD,168.73,168.89,168.32,168.57,249.428847
542,1584003720000,2020-03-12 09:02:00,ETHUSD,168.57,168.9,168.45,168.45,94.351012
543,1584003780000,2020-03-12 09:03:00,ETHUSD,168.45,169.48,168.45,168.95,47.180112
